chemical,protein,label
11804285,ENSP00000296861,0
3823,ENSP00000367408,0
5360515,ENSP00000234961,1
33036,ENSP00000370376,0
5022,ENSP00000337746,0
1971,ENSP00000380514,0
311,ENSP00000250378,1
3086686,ENSP00000293860,0
5359272,ENSP00000253792,0
3337,ENSP00000306490,1
104865,ENSP00000348897,0
156391,ENSP00000370129,1
2578,ENSP00000434364,0
4991,ENSP00000360687,0
392622,ENSP00000347495,0
3914,ENSP00000176183,0
4428,ENSP00000296511,0
698,ENSP00000332771,0
178103,ENSP00000366482,0
160355,ENSP00000419782,1
36811,ENSP00000303634,0
4691,ENSP00000312262,1
1117,ENSP00000361275,1
5202,ENSP00000373169,1
3001055,ENSP00000245816,0
2230,ENSP00000398632,0
6917655,ENSP00000362249,0
160,ENSP00000307445,1
91649,ENSP00000324856,0
65981,ENSP00000256906,0
753,ENSP00000005178,1
4192,ENSP00000351908,0
3372,ENSP00000357981,0
5593,ENSP00000299529,0
5202,ENSP00000304501,1
312,ENSP00000356438,1
1204,ENSP00000357461,1
5709,ENSP00000262187,0
5304,ENSP00000414334,0
91649,ENSP00000321988,0
4885,ENSP00000389948,0
16132429,ENSP00000371929,0
82146,ENSP00000287820,1
445354,ENSP00000219054,0
753,ENSP00000360154,1
68760,ENSP00000355279,0
5330286,ENSP00000265734,1
1117,ENSP00000364801,1
107778,ENSP00000309845,0
4976,ENSP00000293860,0
57242,ENSP00000223095,0
5593,ENSP00000353820,0
31307,ENSP00000257248,0
3883,ENSP00000360372,1
5282280,ENSP00000012443,0
158795,ENSP00000342070,0
2370,ENSP00000409378,1
399618,ENSP00000361642,0
446157,ENSP00000318355,0
5381226,ENSP00000421725,0
2973,ENSP00000233627,0
2325,ENSP00000369960,1
1775,ENSP00000260682,1
60791,ENSP00000304782,0
5403,ENSP00000430269,0
11597571,ENSP00000361423,1
124886,ENSP00000381607,1
2344,ENSP00000360372,0
298,ENSP00000358511,1
191,ENSP00000257770,1
1117,ENSP00000349078,1
3692,ENSP00000353483,0
3658,ENSP00000226840,0
444033,ENSP00000296474,0
5329102,ENSP00000353904,1
24466,ENSP00000216254,0
5284603,ENSP00000211122,0
5484727,ENSP00000264426,0
1117,ENSP00000284440,1
5280346,ENSP00000322991,0
5311037,ENSP00000257770,0
60919,ENSP00000216117,0
5770,ENSP00000362463,0
2156,ENSP00000378191,0
753,ENSP00000217244,1
445643,ENSP00000370270,0
23931,ENSP00000383042,1
2801,ENSP00000373169,1
57363,ENSP00000378306,0
6726,ENSP00000369519,0
57242,ENSP00000352900,0
449459,ENSP00000231449,0
449459,ENSP00000301729,0
107971,ENSP00000346577,0
2726,ENSP00000353820,1
3750,ENSP00000443194,0
16362,ENSP00000316244,1
312,ENSP00000285979,1
3009,ENSP00000234111,1
1132,ENSP00000263035,1
2512,ENSP00000373169,1
123696,ENSP00000231449,0
681,ENSP00000296140,1
57379345,ENSP00000311165,0
5282054,ENSP00000304697,0
16157882,ENSP00000297792,0
192314,ENSP00000317842,0
2170,ENSP00000256906,1
60961,ENSP00000322924,1
10257,ENSP00000263967,0
1117,ENSP00000344829,1
4488,ENSP00000372654,0
5281037,ENSP00000199280,0
65856,ENSP00000378323,0
6433119,ENSP00000319984,0
3008,ENSP00000353820,1
1148,ENSP00000431418,0
5487,ENSP00000310071,0
3463,ENSP00000317985,0
1220,ENSP00000373169,1
1615,ENSP00000342889,0
15897,ENSP00000336762,0
3016,ENSP00000284440,0
1229,ENSP00000258400,1
5039,ENSP00000342850,0
4629,ENSP00000240139,0
5253,ENSP00000327255,0
4908,ENSP00000353165,0
5726,ENSP00000356480,0
54693559,ENSP00000358301,0
753,ENSP00000362576,1
838,ENSP00000275216,1
89594,ENSP00000359285,1
4993,ENSP00000354813,0
10836,ENSP00000255380,0
1117,ENSP00000328547,1
34521,ENSP00000332296,0
443872,ENSP00000256958,0
945,ENSP00000263331,0
2519,ENSP00000250018,0
3054,ENSP00000367959,1
1257,ENSP00000335620,0
3413,ENSP00000310071,0
4659569,ENSP00000252996,0
5311023,ENSP00000419692,0
5056,ENSP00000293780,0
65856,ENSP00000270349,1
4735,ENSP00000256443,0
5139,ENSP00000363832,0
