chemical,protein,label
65856,ENSP00000355279,0
23994,ENSP00000337761,1
3598,ENSP00000231948,0
5097,ENSP00000419782,1
5959,ENSP00000287907,1
2538,ENSP00000352835,0
114854,ENSP00000308549,1
39042,ENSP00000255380,0
753,ENSP00000369530,1
3696,ENSP00000380247,1
21855,ENSP00000346805,0
4913,ENSP00000357727,0
170361,ENSP00000357727,0
5452,ENSP00000373169,1
5360696,ENSP00000277010,1
2308,ENSP00000219479,0
5359272,ENSP00000339328,0
16135499,ENSP00000400175,0
679,ENSP00000237014,1
23994,ENSP00000267814,1
5280360,ENSP00000369643,1
5311037,ENSP00000355599,0
753,ENSP00000312606,1
114854,ENSP00000255380,0
1065,ENSP00000270570,1
5470,ENSP00000261465,0
3158,ENSP00000235382,0
3913,ENSP00000324124,0
5526,ENSP00000278742,0
2724385,ENSP00000222382,0
6426631,ENSP00000351410,1
1051,ENSP00000267845,1
216239,ENSP00000263923,1
439176,ENSP00000329858,1
2333,ENSP00000374219,0
57537,ENSP00000337761,0
16157882,ENSP00000254958,0
1548886,ENSP00000296474,0
860,ENSP00000333821,0
5281040,ENSP00000367959,0
681,ENSP00000338072,1
10267,ENSP00000298556,0
216235,ENSP00000380247,0
1065,ENSP00000274353,0
5281081,ENSP00000322450,0
15,ENSP00000397582,0
3981,ENSP00000272190,0
9824,ENSP00000307822,0
10591,ENSP00000265715,0
2200,ENSP00000343925,0
5287844,ENSP00000012443,0
5656,ENSP00000342235,0
5281707,ENSP00000380252,0
1614,ENSP00000261751,0
191,ENSP00000255008,1
5097,ENSP00000264382,0
5076,ENSP00000378408,0
2800,ENSP00000274547,0
4306515,ENSP00000276198,0
3143,ENSP00000248923,0
119,ENSP00000410732,1
5677,ENSP00000337746,0
10635,ENSP00000357067,0
445643,ENSP00000287907,0
43815,ENSP00000367851,0
123970,ENSP00000287820,0
3962,ENSP00000244051,0
3964,ENSP00000316244,1
84029,ENSP00000343027,0
71120,ENSP00000256999,1
5401,ENSP00000337773,0
4488,ENSP00000302811,0
41376,ENSP00000323071,0
5311037,ENSP00000263464,0
15897,ENSP00000306662,0
644073,ENSP00000397582,0
961,ENSP00000361275,0
130214,ENSP00000332812,0
1050,ENSP00000385026,0
945,ENSP00000364731,0
4584,ENSP00000380514,0
177236,ENSP00000358327,0
89594,ENSP00000262306,0
247,ENSP00000227378,1
5202,ENSP00000393333,1
6675,ENSP00000327417,0
4630,ENSP00000250018,0
97226,ENSP00000354522,1
2730,ENSP00000366488,0
9815499,ENSP00000319984,0
2308,ENSP00000377527,0
3001055,ENSP00000270349,0
39468,ENSP00000320709,0
4629,ENSP00000258042,0
59768,ENSP00000322924,0
1229,ENSP00000331602,0
216239,ENSP00000296140,0
1065,ENSP00000342007,1
3158,ENSP00000306662,1
3086686,ENSP00000386456,1
3973,ENSP00000388648,0
124886,ENSP00000216951,1
4636,ENSP00000266560,0
4688,ENSP00000298910,0
4425,ENSP00000346805,0
2995,ENSP00000303211,0
890,ENSP00000308622,1
2803,ENSP00000312326,1
77918,ENSP00000351706,0
5311037,ENSP00000308583,0
2477,ENSP00000354859,1
3964,ENSP00000386069,1
1548999,ENSP00000339435,0
26644,ENSP00000362401,0
9933475,ENSP00000270349,0
4917,ENSP00000003100,0
171548,ENSP00000377527,1
23994,ENSP00000220809,0
4402,ENSP00000303211,0
679,ENSP00000216911,1
11597571,ENSP00000360645,0
2449,ENSP00000226299,0
4976,ENSP00000365160,0
4927,ENSP00000370254,0
5329102,ENSP00000381412,1
3365,ENSP00000360372,1
501390,ENSP00000339740,0
644077,ENSP00000199280,0
312145,ENSP00000373700,0
5959,ENSP00000265572,1
3290,ENSP00000010404,0
4624,ENSP00000299766,0
312,ENSP00000357873,1
5311507,ENSP00000377527,0
443119,ENSP00000273588,0
753,ENSP00000318912,1
135018,ENSP00000354677,0
5163,ENSP00000258400,1
3446,ENSP00000418447,0
60961,ENSP00000292303,1
5504,ENSP00000001008,0
5280961,ENSP00000307241,0
5311067,ENSP00000219252,0
3675,ENSP00000264193,0
5515,ENSP00000327070,0
312,ENSP00000219070,1
5282381,ENSP00000296412,0
68844,ENSP00000285379,1
4639,ENSP00000372326,0
444795,ENSP00000237014,1
679,ENSP00000369927,1
3845,ENSP00000226840,1
23977,ENSP00000270349,0
3739,ENSP00000315013,0
5566,ENSP00000263980,0
130214,ENSP00000217185,0
62924,ENSP00000216392,0
681,ENSP00000386884,1
155346,ENSP00000362401,0
6005,ENSP00000331103,0
3384,ENSP00000290597,0
3639,ENSP00000301974,0
6324663,ENSP00000273430,1
115146,ENSP00000218758,0
1614,ENSP00000351908,0
4908,ENSP00000219833,0
5329102,ENSP00000319060,1
153990,ENSP00000389414,0
2169,ENSP00000264193,0
1051,ENSP00000339435,1
23994,ENSP00000298171,1
36736,ENSP00000244051,0
23994,ENSP00000362361,1
5281881,ENSP00000306129,1
5284627,ENSP00000328708,0
71739,ENSP00000296861,0
2170,ENSP00000267814,0
5466,ENSP00000282957,0
5329098,ENSP00000288135,1
4819,ENSP00000332679,1
2200,ENSP00000329684,0
3100,ENSP00000337761,0
36736,ENSP00000363812,0
23994,ENSP00000302967,1
2564,ENSP00000306490,1
5959,ENSP00000358770,0
1220,ENSP00000307766,1
129211,ENSP00000366156,0
5281037,ENSP00000199280,0
4422,ENSP00000278742,0
5589,ENSP00000359991,0
753,ENSP00000322991,1
216239,ENSP00000361423,1
5771,ENSP00000378295,0
5324345,ENSP00000346577,0
4036,ENSP00000357920,0
5287969,ENSP00000257904,1
444795,ENSP00000377721,1
753,ENSP00000432481,1
4095,ENSP00000265572,1
176870,ENSP00000362649,0
4212,ENSP00000421725,0
753,ENSP00000339479,1
